conf,iou,experiment_time,timestamp,mAP50-95,mAP50,mAP75,precision,recall,mAP_s,mAP_m,mAP_l,inference_t,inference_time_ms,inference_time_s,FPS,FPS_alt
0.3,0.5,316.7002902030945,2025/9/3 10:20,0.3949482085015532,0.6182977444921866,0,0.931307793923,0.29504080351,0,0,0,0,316.7002902030945,0.3167002902030945,3.1575594684763852,0.003157559468476385
0.3,0.7,296.39608883857727,2025/9/3 10:25,0.39397442285441386,0.6169536301678423,0,0.927117531188,0.2954593011,0,0,0,0,296.39608883857727,0.29639608883857727,3.3738636832843576,0.003373863683284358
0.5,0.5,313.2691493492126,2025/9/3 10:30,0.39870958102495313,0.6190213114427253,0,0.951807228915,0.28102113412,0,0,0,0,313.2691493492126,0.31326914934921263,3.1921432483134917,0.003192143248313492
0.5,0.7,303.81830811500055,2025/9/3 10:36,0.39821137490804,0.6184964818563652,0,0.949858575062,0.28143963172,0,0,0,0,303.81830811500055,0.30381830811500055,3.291440881901964,0.003291440881901964
